Animal	Type	Treatment	Assay	Pre	10m Post	1hr Post	4hr Post
Stoney	Sport	Control	GSH	33.9690060851927	5.82925294888598	7.85154875717017	4.18075897435898
Country Minister	Race	Treatment	Cysteine	379.17133825079	554.253984732824	369.15072	910.93918128655
Down and Dirty	Race	Treatment	Cysteine	238.179569034318	735.849669861555	145.787325660122	485.71166011015
Dr. Smooth	Race	Treatment	Cysteine	338.532057723143	236.202849785408	371.470242954325	233.800675105485
Greenwich Park	Race	Treatment	Cysteine	419.172477862113	1062.74303640375	315.933307670773	486.954039977477
Mind Game	Race	Treatment	Cysteine	292.690152532617	586.716446263644	450.173238897397	522.629532442748
Park Princess	Race	Treatment	Cysteine	251.211872021784	113.74209612044	246.576783216783	178.929000740192
Senor Gato	Race	Treatment	Cysteine	2426.56006369427	3375.67995698084	1986.13206836414	1373.13324356571
Bullet	Sport	Treatment	Cysteine	584.181353556857	389.725222672065	619.249791719583	488.616730978684
Easy Lion	Sport	Treatment	Cysteine	349.907264009589	326.684063220283	85.384096848578	355.951193311376
Fair Dinkum	Sport	Treatment	Cysteine	1674.71429987608	181.828149377593	406.456659436009	53.9566303966304
Jamie	Sport	Treatment	Cysteine	632.039408181027	238.268487947407	144.012613283675	151.780124666073
Stella	Sport	Treatment	Cysteine	1629.25917884781	3059.82594789132	4398.24413976522	4778.33373082455
Stoney	Sport	Treatment	Cysteine	1048.0199311491	1391.27395519173	2083.02052038627	2260.95604403025
Country Minister	Race	Treatment	Homo-Cysteine	21.074478398314	29.8134351145038	18.345088	41.7704260651629
Down and Dirty	Race	Treatment	Homo-Cysteine	18.6377015163607	54.2309691160809	14.7167230873392	33.1928245476003
Dr. Smooth	Race	Treatment	Homo-Cysteine	7.77013361838589	7.28223175965665	11.7865111758989	7.74635322483424
Greenwich Park	Race	Treatment	Homo-Cysteine	14.4509013282732	33.2180708769994	11.2059700447928	14.9739653716216
Mind Game	Race	Treatment	Homo-Cysteine	10.4386080199539	20.8198782535684	14.648124042879	17.0140426208651
Park Princess	Race	Treatment	Homo-Cysteine	16.66954390742	9.65049218297626	17.3886247086247	10.5230495928942
Senor Gato	Race	Treatment	Homo-Cysteine	69.1069426751592	55.231572154869	47.4531635856296	13.2011061871485
Bullet	Sport	Treatment	Homo-Cysteine	19.6857069363136	18.9112145748988	8.36564389128778	20.3171557491831
Easy Lion	Sport	Treatment	Homo-Cysteine	24.0641893916692	23.3947942048074	6.75379707916987	23.6770053204966
Fair Dinkum	Sport	Treatment	Homo-Cysteine	35.3826022304833	4.09098755186722	8.14524945770065	3.50642330642331
Jamie	Sport	Treatment	Homo-Cysteine	16.0779808529156	8.08920379839299	6.2633147113594	7.87643811219947
Stella	Sport	Treatment	Homo-Cysteine	45.7592325881341	72.3515257502027	68.6020863903155	69.1174556567593
Stoney	Sport	Treatment	Homo-Cysteine	30.2021367521368	37.8254739336493	73.5414431330472	58.4564019448946
Country Minister	Race	Treatment	GSH	10.8123076923077	16.5545038167939	6.97713066666667	11.9775438596491
Down and Dirty	Race	Treatment	GSH	6.29002394253791	14.1137380191693	5.11856465809073	7.52802517702596
Dr. Smooth	Race	Treatment	GSH	8.4569962586852	24.4234849785408	19.9238872691934	11.3169379144063
Greenwich Park	Race	Treatment	GSH	12.3314358001265	11.7363796194153	9.80735582306831	12.2810529279279
Mind Game	Race	Treatment	GSH	11.4789620107444	23.6077980688497	19.3831068147014	24.726558524173
Park Princess	Race	Treatment	GSH	8.82344452008169	5.4298552403011	14.3696037296037	6.11615099925981
Senor Gato	Race	Treatment	GSH	41.6798089171975	35.5466484161126	26.6898674572724	15.432698142151
Bullet	Sport	Treatment	GSH	22.8548270356573	11.1582591093117	15.31237998476	9.02682900264509
Easy Lion	Sport	Treatment	GSH	9.27691938867246	11.0363648337175	3.38009333479741	8.62456295920953
Fair Dinkum	Sport	Treatment	GSH	16.6338042131351	5.53241493775934	13.0890238611714	2.9637206037206
Jamie	Sport	Treatment	GSH	13.1507397737163	6.71777940102264	5.16022346368715	4.95294746215494
Stella	Sport	Treatment	GSH	15.0348022355976	17.1212591240876	15.9464370873074	18.9989034036433
Stoney	Sport	Treatment	GSH	10.4723884140551	9.4760555794916	22.4219688841202	13.8735210696921
